#Accession	NCBI-taxid (-1 = withdrawn)
2777478	10678
11541315	1109713
10358753	582345
5176031	10455
921973	51313
16512306	1349409
5601573	40523
6372314	198110
14515306	1116482
16881230	1328029
10328582	445686
9925218	212035
16193515	1273746
13829139	57477
7871863	641487
8684401	655097
932519	28873
11536525	1128424
6446698	399183
956069	194802
2776841	10464
918569	37108
16045728	754066
7751222	631345
16385074	1229751
5141313	85655
932672	28873
5950925	379529
11447631	1100814
9086657	687383
8303287	555387
9830459	645664
920234	151534
16187692	1195085
10327325	445683
9925421	212035
15956818	536453
4960734	431894
11459646	1109710
16194223	1273750
1488625	10449
9830507	645664
10021311	700939
13996927	10732
7871853	641487
1260257	205880
15956722	536453
13827222	1177632
13829200	264076
12977952	84739
921280	31754
16185629	929833
13164842	1194641
4643165	398839
5219995	245685
920410	151537
15010864	754074
10511603	753084
6216166	491003
10146737	909330
2746975	11855
11945655	1159904
5950634	467481
11464302	1535247
14296249	1147044
929706	103807
5364596	399781
5142331	400567
1461118	138951
9838711	907191
6921746	555603
10896869	934027
10618870	1026955
13827544	1229789
13827402	1204525
14296045	1236573
12978704	1112008
3197288	294382
12979269	1161927
16881057	1327971
2767971	12390
14258167	1236392
8684284	655098
6372400	198110
14012634	1147094
14006869	37105
11605043	1129145
10400125	995022
2942906	31757
9711484	861044
15010812	754052
3342351	279383
14007466	947981
15151999	1312929
10323872	910473
15042101	547228
14297119	984186
2978960	256729
16045313	754039
5666524	442493
11476646	45661
3294419	268746
15926567	115992
920977	155148
16204939	1305708
10971110	10506
6372263	198110
16182871	1335638
5797470	451705
13994497	1141140
7751367	478550
5176083	10455
13997131	1239381
16547993	1340826
2657003	50294
6386690	338478
1260015	205879
3260381	238854
4179097	204507
4156376	233894
6654057	10704
16575187	1340818
955458	329855
6989643	504346
944399	12188
10400127	995022
932778	151528
15010194	754075
3773073	12336
15012089	869662
2948247	261939
15013482	536466
10327580	444859
1260133	205879
935392	180170
13826660	1204524
16548007	1340826
8746580	694581
6216155	491003
2948467	130499
2658371	244590
1488876	10497
16385296	1337877
15383005	1324794
16385078	1229751
3192574	151599
8797220	129726
1260252	205880
6216305	499556
15013679	382262
6904181	557289
17503384	1354510
10511656	753084
4642977	1307954
3783668	1001533
934998	154334
6218878	475178
956103	178354
10021214	696472
10511760	562742
13997490	1239384
16836145	1206545
2948222	261939
5471000	322019
11294829	331278
14297000	1147137
14516027	1204533
14011114	1073767
4818440	423476
16193783	1273748
14757612	1511885
944732	10266
956015	120574
14515725	1236000
7042987	471285
10228752	979533
12979847	1162295
14295573	1206558
16191516	1235824
16414442	1301279
16204976	1307804
7943224	576789
5130313	55510
1260452	148943
1486622	10261
1488844	10497
921801	70600
13997097	1245909
9830555	645664
14206489	1129191
15013620	536466
2658694	37131
13993576	1141135
16796853	1327977
7871820	641487
9838707	907191
6904136	459291
12979006	1187128
14011033	1190451
5469896	399781
2648369	232237
14013247	1141132
15011563	889953
16212833	1327035
2947878	129727
15926523	115992
16193385	1262532
1259381	205872
13828850	1141133
10359052	857312
16194235	1273750
8223424	915428
14697682	1283076
962119	12288
10399463	190063
16212721	1325963
16880851	1327970
14012168	1150991
3654928	181082
3773075	12336
12978649	1112008
12977541	1141526
10192248	1605972
14011026	1190451
5142179	379891
6334574	515444
2716856	260379
3882101	85454
1497186	33708
15011601	889953
16797476	1327990
5142540	331627
11459328	217615
1450424	85618
5247228	447909
14515365	1116482
14296382	1225794
16193508	1273746
14295960	1206559
14181799	1229755
10963844	68347
16547434	1340713
15012922	755272
1486726	10261
7943858	538979
15042073	547228
932415	10276
5142080	332054
2776882	10464
9926083	760732
2703350	10298
14542641	1235314
4155930	364745
15012582	754058
6920438	546803
14297492	981335
11605455	1105171
4643012	1307954
10327802	444862
935528	188763
6186709	512792
3773137	36427
1262027	10661
12979175	1114179
5141941	1307957
5141279	85655
16547977	1340826
14297466	981335
11117706	593131
16199632	1300004
13828160	1604355
8658552	10334
6940337	561996
